título,descripción,categoría,subcategoría,edad_min,edad_max,requiere_inscripcion,periodicidad,día_días,hora_inicio,hora_fin,fecha_inicio,fecha_fin,ciudad,distrito,precio_valor,recomendado,tiene_url_info,tiene_url_imagen
Talleres del Price (5 y 6 años),¡Diviértete aprendiendo mientras descubres todo lo que eres capaz de hacer!,Cultura y Espectáculos,Talleres,5,6,,,sábado,,,29/03/2025,14/06/2025,Madrid,,10.0,True,False,True
HOP!,Los Absurdos Teatro nos traen un paseo teatralizado por la historia del Circo Price.,Cultura y Espectáculos,Circo. Teatro Infantil,,,,,,11:00,,15/06/2025,15/06/2025,Madrid,,,True,False,True
Campamentos urbanos de verano 2025. Distrito Arganzuela,"Se realizarán actividades de ocio lúdico-educativas, incluyendo los servicios de desayuno y comida. La actividad será gratuita y se ofertarán 240 plazas durante el mes de julio y 150 plazas durante los días de junio y 180 plazas por centro durante el mes de agosto y septiembre. En total 1.170 plazas durante todo el verano.",La Ciudad,Verano,4,4,,,domingo,,,,,Madrid,Arganzuela,0.0,True,False,True
Ronda de libros,"Este trimestre los participantes harán una excursión por la selva en la que encontrarán muchos animales y con algún personaje literario conocido, iremos por la ciudad y entraremos en las casas de los protagonistas de los cuentos y finalmente haremos un divertido viaje por un mar de colores explorando la flora y la fauna de tan enigmático lugar.",Aire Libre. Cultura y Espectáculos,Actividades al Aire Libre. Actividades con animales. Club de lectura,1,3,True,,sábado,,,,,Madrid,,,True,False,True
Talleres para niños de 4 a 14 años,,Cultura y Espectáculos,Talleres,4,14,True,,sábado,,,26/04/2025,28/06/2025,Madrid,Centro,0.0,True,False,True
Campamento urbano de Semana Santa. Distrito Retiro,"Campamento urbano de verano 2025 ofertado por el distrito de Retiro y prestado por la empresa Siete Estrellas Educación y Ocio, S.L.U.",Educación. La Ciudad,Campamentos Urbanos. Semana Santa. Verano,,,True,,"lunes, viernes",,,29/04/2025,05/09/2025,Madrid,Retiro,,True,False,True
Campamento urbano Chamartín Verano 2025,Lugar de realización :,Educación. La Ciudad,Campamentos Urbanos. Verano,3,12,True,,"miércoles, domingo",,,30/04/2025,07/09/2025,Madrid,Chamartín,0.0,True,False,True
Bulevarte 2025,Vive tu Bulevar... ¡Disfruta tu Bulevar!,No especificada,No especificada,,,,mensual,"lunes, domingo",11:00,21:30,31/07/2025,31/07/2025,Madrid,,0.0,True,False,True
Deportes populares y tradicionales para familias,Para todos los públicos.,No especificada,No especificada,,,True,,sábado,,,01/05/2025,30/06/2025,Madrid,,0.0,True,True,True
Actividades por el día 2 de mayo,Celebración del Día de la Comunidad de Madrid con diversas actividades:,No especificada,No especificada,,,,,viernes,17:30,,02/05/2025,02/05/2025,Madrid,,0.0,True,False,True
Gran concurso de la maternidad en el mundo animal,Taller. De 11 a 12 horas.,Cultura y Espectáculos,Talleres,5,18,,,viernes,11:00,12:00,02/05/2025,02/05/2025,Madrid,Usera,0.0,True,True,True
