ID;DESC_CLASIFICACION;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;ESTADO;COORD_GIS_X;COORD_GIS_Y;SISTEMA_COORD;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;NDP;FECHA_INSTALACION;CODIGO_INTERNO;CONTRATO_COD;MODELO;ACCESIBLE
"25614";"Balancín en Área Infantil";"204";"ARCOS";"20";"SAN BLAS - CANILLEJAS";"OPERATIVO";"447585.69";"4474779.83";"ETRS89";40.42199811;-3.61785878;"CALLE";"ARCOS DE JALON";"40";"28037";"C · CALLE AMPOSTA 40 , ASCENDIENTE 1: 204 · LOS A";"11136156";"2005-01-01 00:00:00.0";"2007406";"AE21";"0048 · CABALLO";
"25612";"Balancín en Área Infantil";"204";"ARCOS";"20";"SAN BLAS - CANILLEJAS";"OPERATIVO";"447659.470";"4474902.350";"ETRS89";40.42310649;-3.61699920;"CALLE";"ARCOS DE JALON";"82";"28037";"C · CALLE ARCOS DEL JALÓN 76 , ASCENDIENTE 1: 204";"11136137";"2004-01-01 00:00:00.0";"2007309";"AE21";;
"25604";"Balancín en Área Infantil";"204";"ARCOS";"20";"SAN BLAS - CANILLEJAS";"OPERATIVO";"448109.600";"4474773.220";"ETRS89";40.42197140;-3.61168274;"AVENIDA";"CANILLEJAS A VICALVARO";"84";"28032";"Av · AVENIDA AJALVIR A VICALVARO 84 , ASCENDIENTE";"20099735";"2006-01-01 00:00:00.0";"2006906";"AE21";"0508 · PAJARO";
"25602";"Balancín en Área Infantil";"205";"ROSAS";"20";"SAN BLAS - CANILLEJAS";"OPERATIVO";"448687.540";"4475052.830";"ETRS89";40.42452615;-3.60489292;"PASEO";"GINEBRA";"19";"28022";"Pº · PASEO GINEBRA , ASCENDIENTE 1: 205 · LAS ROS";"20171630";"2008-01-01 00:00:00.0";"2006603";"AE21";"0593 · PATO";
"25593";"Balancín en Área Infantil";"205";"ROSAS";"20";"SAN BLAS - CANILLEJAS";"OPERATIVO";"448894.060";"4475775.480";"ETRS89";40.43104895;-3.60251660;"CALLE";"LIVERPOOL";"3";"28022";"C · CALLE MÁNCHESTER , ASCENDIENTE 1: 205 · LAS R";"20104266";"2006-01-01 00:00:00.0";"2006108";"AE21";"0508 · PAJARO";
"20817";"Columpio en Área Infantil";"086";"VALVERDE";"08";"FUENCARRAL - EL PARDO";"OPERATIVO";"442826.22";"4483856.36";"ETRS89";40.50345020;-3.67477749;"CALLE";"SAN JUAN DE ORTEGA";"20";"28050";"CALLE SAN JUAN DE ORTEGA , ASCENDIENTE 1: 086";"31026541";"2007-02-06 00:00:00.0";"0813305";"AE21";;"NO"
"20812";"Columpio en Área Infantil";"086";"VALVERDE";"08";"FUENCARRAL - EL PARDO";"OPERATIVO";"442681.792";"4483568.016";"ETRS89";40.50084272;-3.67645586;"CALLE";"CASTIELLO DE JACA";"9";"28050";"CALLE PUENTE LA REINA , ASCENDIENTE 1: 086 ·";"31023173";"2007-02-06 00:00:00.0";"0812602";"AE21";;"NO"
"20796";"Columpio en Área Infantil";"083";"PEÑAGRANDE";"08";"FUENCARRAL - EL PARDO";"OPERATIVO";"439293.99";"4481436.45";"ETRS89";40.48139993;-3.71623082;"CALLE";"ISLA DE AROSA";"14";"28035";"CALLE ISLA DE AROSA 14 CON FERMIN CABALLERO, ASCENDIENTE 1: 083 ·";"11045664";"2016-03-08 00:00:00.0";"0810108";"AE21";;"NO"
"20790";"Columpio en Área Infantil";"084";"PILAR";"08";"FUENCARRAL - EL PARDO";"OPERATIVO";"440051.64";"4481037.10";"ETRS89";40.47785749;-3.70725469;"PLAZA";"ARTEIJO";"17";"28029";"PLAZA ARTEIJO , ASCENDIENTE 1: 084 · BARRIO";"31045090";"2006-01-09 00:00:00.0";"0809101";"AE21";;"NO"
"20763";"Columpio en Área Infantil";"086";"VALVERDE";"08";"FUENCARRAL - EL PARDO";"OPERATIVO";"442017.68";"4482475.91";"ETRS89";40.49095847;-3.68419307;"CALLE";"ISLA DE JAVA";"45";"28034";"CALLE ISLA DE JAVA 45 , ASCENDIENTE 1: 086 ·";"11047552";"2006-01-09 00:00:00.0";"0804302";"AE21";;"NO"
"20759";"Columpio en Área Infantil";"087";"MIRASIERRA";"08";"FUENCARRAL - EL PARDO";"OPERATIVO";"439239.87";"4482094.17";"ETRS89";40.48732094;-3.71693234;"AVENIDA";"VENTISQUERO DE LA CONDESA";"13";"28035";"AVENIDA VENTISQUERO DE LA CONDESA 13 CON CERRO MINGUETE, ASCEN";"20085772";"2007-02-15 00:00:00.0";"0803202";"AE21";;"NO"
"20722";"Columpio en Área Infantil";"076";"VALLEHERMOSO";"07";"CHAMBERI";"OPERATIVO";"440206.871";"4476718.101";"ETRS89";40.43896139;-3.70501661;"CALLE";"BRAVO MURILLO";"40";"28015";"C · CALLE CEA BERMUDEZ , ASCENDIENTE 1: 076 · VAL";"31031276";"2007-02-26 00:00:00.0";"0700516";"AE21";;"NO"
"20714";"Columpio en Área Infantil";"066";"BERRUGUETE";"06";"TETUAN";"OPERATIVO";"440155.917";"4479039.098";"ETRS89";40.45986624;-3.70583608;"CALLE";"LUIS MISSON";"26";"28039";"C · CALLE LUIS MISSON 26 , ASCENDIENTE 1: 066 · B";"11037318";"2012-06-20 00:00:00.0";"0605309";"AE21";;"NO"
"20708";"Columpio en Área Infantil";"065";"VALDEACEDERAS";"06";"TETUAN";"OPERATIVO";"439741.700";"4479776.114";"ETRS89";40.46647563;-3.71079123;"CALLE";"VILLAAMIL";"229";"28039";"C · CALLE VILLAAMIL 229 , ASCENDIENTE 1: 065 · VA";"11055248";"2004-01-01 00:00:00.0";"0603914";"AE21";"JMC-300";"NO"
"20697";"Columpio en Área Infantil";"062";"CUATRO CAMINOS";"06";"TETUAN";"OPERATIVO";"441191.731";"4478409.232";"ETRS89";40.45426608;-3.69356159;"AVENIDA";"BRASIL";"8";"28020";"Av · AVENIDA BRASIL , ASCENDIENTE 1: 062 · CUATRO";"31017523";"2007-06-04 00:00:00.0";"0602508";"AE21";;"NO"
